time_sec,rms_Sample,rms_Voc 1,rms_Voc 2,rms_Guitare,rms_Basse,rms_BatterieG,rms_BatterieD,region,beat,measure,x_Voc 1,y_Voc 1
232.9,15083369.615,399785724.264,200686585.325,106162363.024,197624256.225,244471373.494,297070480.241,,2,3,0.049084297775385935,-0.18556843013044166
233.0,27408305.881,442409614.171,239527194.54,126849568.987,195913519.191,257514082.135,326135687.493,,2,3,-0.3673812067634138,-0.313474865757426
233.1,21933110.032,488010854.718,266162888.72,149601676.684,197162031.192,268524230.614,296038640.108,,2,3,-0.276524552936512,-0.19161221503162273
233.2,17553031.215,479041131.595,290732375.44,156953976.015,199884355.622,279748048.924,256728258.389,,2,3,-0.11645700504921919,-0.0077056372314213695
233.3,25434235.541,450312209.839,261950513.71,142966885.129,199157633.244,286962874.594,299145427.422,,3,3,0.418801720053789,0.2460887434858431
233.4,20353865.8,406143888.627,222571967.597,122921176.581,185275573.435,265251078.848,264398003.521,,3,3,0.8785673576650949,0.43919894233513684
233.5,16289855.411,372508295.411,188988583.815,102473363.172,186371406.714,249395909.898,299321037.724,,3,3,0.9128116726333608,0.5935236057076957
233.6,28373322.572,394721496.071,219289588.586,116519254.416,188224519.555,261272268.481,329361447.214,,4,3,0.8775795678700584,0.6724802778666864
233.7,22705328.025,429779977.48,254020632.564,138545256.841,190255897.72,275739148.984,313512411.319,,4,3,0.3229517077443711,0.7667641490077718
233.8,18170903.119,455333542.377,272101565.397,160091211.745,189887650.906,270583497.732,279584450.096,,4,3,-0.5475410632207197,0.7746344043870697
233.9,14543181.794,461228190.337,275362918.181,164607968.732,186515230.929,279004437.106,243910630.377,,1,4,-1.015447236175716,0.6059989479432342
234.0,26975971.777,438071570.4,242945988.668,149687863.711,186643596.874,281741924.782,287941021.648,,1,4,-1.4501615309747926,0.5617220272219872
234.1,21587188.29,388602078.586,216153830.669,128146514.107,178941622.357,246240780.208,252154358.302,,1,4,-1.4214637637971321,0.40710298375785126
234.2,17276255.007,389235657.839,236901543.673,139310520.567,181868106.158,253234166.07,294412125.88,,1,4,-1.2986791225763623,0.26032545177330213
234.3,29162610.271,411782570.615,264690072.557,155431342.938,181555741.182,266300719.243,319478398.496,,2,4,-1.2245151704851625,0.48216269580260257
