time_sec,rms_Sample,rms_Voc 1,rms_Voc 2,rms_Guitare,rms_Basse,rms_BatterieG,rms_BatterieD,region,beat,measure,x_Voc 1,y_Voc 1
236.9,15083198.62,35876113.963,317053747.652,1082550.394,175861162.41,303352444.919,443193394.567,Chorus_,1,6,,
237.0,27407978.75,33484765.842,308134502.709,896924.417,177053108.534,303740670.696,476179925.391,Chorus_,2,6,,
237.1,21932985.458,31101801.046,275742773.547,748680.218,179806124.803,301893059.475,476822717.929,Chorus_,2,6,,
237.2,17552922.619,28720022.426,234113631.884,630029.188,177385714.981,305588643.483,478129301.554,Chorus_,2,6,,
237.3,25433994.56,26817424.27,206116422.06,534512.65,177332501.887,312338353.351,496327461.903,Chorus_,3,6,,
237.4,20353756.674,25515161.911,194490678.627,458749.349,175090219.93,318517276.646,436375584.899,Chorus_,3,6,,
237.5,16289695.717,24002892.752,164808632.769,397829.125,172556609.567,309215839.191,367682882.846,Chorus_,3,6,,
237.6,28373095.77,132828389.955,200581806.424,52653762.856,168542780.123,284316126.908,400114897.09,Chorus_,4,6,,
237.7,22705010.868,220065877.815,230648109.018,92721244.409,170612133.546,292588000.911,392250094.956,Chorus_,4,6,,
237.8,18170578.621,288140326.456,253329308.738,120887152.26,173354626.722,304171619.371,343501618.699,Chorus_,4,6,,
237.9,14543074.2,312926233.955,245390385.496,123183311.977,175650175.681,316012404.922,296419755.189,Chorus_,4,6,,
238.0,26976090.617,305990621.022,220976559.51,113473605.802,159884549.813,318048643.746,329807618.156,Chorus_,1,7,,
238.1,21587472.002,281985945.599,189509711.345,97167447.122,145144388.958,261502091.383,285351852.266,Chorus_,1,7,,
238.2,17276463.983,273818899.015,181933859.749,90924853.857,154088525.541,262712875.076,320320542.245,Chorus_,1,7,,
238.3,29162544.227,325384067.235,226184078.263,121405915.8,158435293.097,272342480.203,345340051.39,Chorus_,2,7,,
238.4,23336569.634,367297422.073,254072542.699,146985810.769,159302260.44,277968946.536,318585847.538,Chorus_,2,7,,
238.5,18675733.074,383047790.435,280190384.17,159936474.195,162305604.707,287196113.915,278621585.318,Chorus_,2,7,,
238.6,26332454.094,374074815.775,278913092.821,149737439.172,165298423.078,293718621.457,300942667.405,Chorus_,3,7,,
238.7,21072612.769,337627766.181,236680999.347,131512662.139,155790315.677,283065688.205,301499403.656,Chorus_,3,7,,
238.8,16864654.209,294139975.435,200238721.513,110170826.997,152600023.363,242678901.866,278221025.206,Chorus_,3,7,,
238.9,13498188.695,288588598.569,209051123.212,116086078.747,159266218.321,253179939.652,310610753.522,Chorus_,3,7,,
239.0,26139950.972,344918948.507,247092122.403,143739458.784,163492812.634,264986325.573,334197690.473,Chorus_,4,7,,
239.1,20918527.739,387063831.544,270616575.827,167951018.141,167505064.799,269985907.33,302281839.608,Chorus_,4,7,,
239.2,16741418.747,416397708.304,283069473.626,177009136.21,173947123.333,275438247.725,261991229.135,Chorus_,4,7,,
239.3,28734495.759,408383513.922,259259988.926,165227386.08,179300392.2,281368713.915,304194074.652,Chorus_,1,8,,
239.4,22994115.938,359579293.012,238753027.55,143223000.109,170982134.662,250489437.426,272997104.108,Chorus_,1,8,,
239.5,18401770.117,338014029.044,242266036.254,142028584.062,172276946.405,240928641.432,305897025.367,Chorus_,1,8,,
239.6,30062936.19,366282528.796,271270142.799,155223674.447,175277768.294,253520040.452,353663819.159,Chorus_,2,8,,
239.7,24056859.313,388475105.935,296113269.874,163727464.125,180791149.154,264916624.387,334676662.245,Chorus_,2,8,,
239.8,19252054.412,386672314.952,300197930.814,167453277.159,182283384.024,280958825.653,296794652.625,Chorus_,2,8,,
239.9,15408225.304,352548937.45,289176013.042,152871405.43,178330257.847,289787578.465,261322938.901,Chorus_,2,8,,
240.0,23718450.82,304936503.109,257995969.177,129787394.944,174552109.447,291421215.059,312377035.367,Chorus_,3,8,,
240.1,18981235.015,254057808.026,244177658.623,107363513.213,172619954.831,297797028.211,273757558.247,Chorus_,3,8,,
240.2,15191531.201,210381103.323,263089061.44,87496506.033,166136945.853,280681486.788,231016875.417,Chorus_,3,8,,
240.3,27494604.102,173454956.502,279888226.126,70786070.514,167351535.992,271981583.589,309001928.16,Chorus_,4,8,,
240.4,22002335.704,143496878.766,287339786.016,57039283.361,173549141.227,287231784.631,294512306.34,Chorus_,4,8,,
240.5,17608390.881,118599658.056,303669805.283,45852937.988,173980741.372,285036440.308,258454317.678,Chorus_,4,8,,
240.6,29428034.817,97986299.168,316902924.912,36785672.346,169244003.894,261892452.592,291070737.133,Chorus_,1,9,,
240.7,23549097.821,80498576.39,325907374.96,29482489.002,173439582.269,275556953.985,298470396.354,Chorus_,1,9,,
240.8,18845761.635,66187263.38,330542051.956,23619382.832,176161139.893,283618697.362,253386950.151,Chorus_,1,9,,
240.9,15083026.25,54204565.784,305057440.673,18922152.093,161924410.199,246529614.265,215017514.378,Chorus_,1,9,,
241.0,27407875.138,44147866.874,314733943.81,15163360.229,162963035.077,261875241.496,301276221.167,Chorus_,2,9,,
241.1,21932819.441,35999329.326,311957505.797,12155850.38,163410666.534,280265356.602,278510852.15,Chorus_,2,9,,
241.2,17552843.244,29597871.663,301418410.654,9750654.435,167093892.969,281565148.717,241594111.083,Chorus_,2,9,,
241.3,25433948.726,24803296.495,308730508.97,7826123.468,169209632.243,270096724.88,330215192.903,Chorus_,3,9,,
241.4,20353672.333,21301381.326,300567255.504,6287692.254,175100963.675,279011581.207,331356377.65,Chorus_,3,9,,
241.5,16289451.219,18806111.621,305710555.038,5057099.333,181579515.624,286250970.288,337118796.333,Chorus_,3,9,,
241.6,28373067.307,17111072.652,311804324.866,4072923.467,187562837.396,292402725.352,372056342.349,Chorus_,4,9,,
241.7,22704943.23,16629926.628,312500763.928,3285699.82,192480264.575,295125875.117,361476562.549,Chorus_,4,9,,
241.8,18170407.849,16882005.901,329037224.977,2656065.521,194695994.858,298385921.955,351944320.726,Chorus_,4,9,,
241.9,14542866.491,18183330.59,328980052.602,2153386.024,196029355.278,304159220.183,345298525.946,Chorus_,4,9,,
242.0,26975769.089,20617821.288,330263679.35,1751003.79,195955027.21,305097449.944,362510981.375,Chorus_,1,10,,
242.1,21587191.125,24509125.931,325783897.165,1429325.537,196434072.416,310652115.117,383318799.327,Chorus_,1,10,,
242.2,17276310.956,30407172.602,317763136.544,1173224.271,194332053.546,313283182.198,405214878.719,Chorus_,1,10,,
242.3,29162597.581,39177850.118,313157029.282,968600.609,196085485.116,306767882.729,423588083.877,Chorus_,2,10,,
242.4,23336683.473,50128847.135,302501794.968,803397.214,202200754.601,303855123.925,433681365.11,Chorus_,2,10,,
242.5,18676002.128,63627264.896,266121068.994,671047.464,201980179.763,303806199.817,445617389.787,Chorus_,2,10,,
242.6,26332664.423,79231760.721,220518622.073,566370.252,207445010.428,308351970.183,443133153.739,Chorus_,3,10,,
242.7,21072617.921,90824605.666,182230880.474,482359.501,207640621.805,315846207.678,429865114.018,Break,3,10,,
242.8,16864592.719,91659096.757,150855436.802,414850.062,206110476.017,324680474.162,381422600.41,Break,3,10,,
242.9,13498238.169,76081751.043,124798938.503,361063.14,190457024.109,281337246.702,328987399.357,Break,3,10,,
243.0,26140063.904,123978255.697,103577778.749,317844.69,190335980.639,285309993.012,370914665.92,Punch,4,10,,
243.1,20918665.372,150000477.991,85766966.519,283141.251,190940468.728,297337728.879,321451666.794,Punch,4,10,,
243.2,16741669.097,167313132.176,70841846.171,256046.553,188872503.593,306277654.572,272221691.821,Punch,4,10,,
243.3,28734694.699,166255190.848,58677041.54,234167.094,187323623.625,283886175.289,226233330.1,Punch,1,11,,
243.4,22994142.275,171901713.064,48556726.744,216133.42,161915679.839,229689229.328,185072161.654,Punch,1,11,,
243.5,18401797.198,170994451.351,40266596.443,202460.95,129802065.027,183801203.573,150629434.072,Punch,1,11,,
243.6,30062959.787,170456495.796,33386826.668,191430.923,103864295.65,147043623.152,122399938.367,Punch,2,11,,
243.7,24056976.186,165014323.668,27665397.06,183390.068,83110762.935,117640525.671,99378477.198,Punch,2,11,,
243.8,19252189.305,160610842.837,22948719.02,176032.606,66506186.359,94115089.625,80779699.705,Punch,2,11,,
243.9,15408406.793,152192911.209,19065124.771,170205.225,53223018.851,75293842.27,65815739.018,Punch,2,11,,
244.0,23718364.824,139210722.071,15858320.974,166399.104,42594066.26,60236594.806,53634160.191,Punch,3,11,,
244.1,18981329.625,133844874.791,13209544.682,162394.199,34090472.317,48190858.129,43795917.648,Punch,3,11,,
244.2,15191580.042,125307911.493,10997208.212,160078.099,27286287.964,38554243.6,35778347.302,Punch,3,11,,
244.3,27494687.127,116299019.682,9194894.529,158452.788,21841780.346,30844913.547,29181694.575,Punch,4,11,,
244.4,22002277.989,110003696.326,7689728.199,157250.966,17485500.811,24677388.192,23872651.79,Punch,4,11,,
244.5,17608368.557,101695546.318,6456188.393,154660.119,13999609.841,19743621.804,19668428.898,Punch,4,11,,
244.6,29427371.881,93829224.824,5442223.666,153231.72,11210403.146,15795715.929,16174803.966,Punch,1,12,,
244.7,23548346.55,85463619.838,4599716.736,152752.515,8977829.649,12637487.657,13396836.968,Punch,1,12,,
244.8,18845210.697,74912524.245,3919135.139,152131.983,7191486.989,10111281.202,11155883.185,Punch,1,12,,
244.9,15082455.842,67143247.672,3356888.358,151340.764,5761618.157,8089911.616,9297783.5,Punch,1,12,,
