time_sec,rms_Sample,rms_Voc 1,rms_Voc 2,rms_Guitare,rms_Basse,rms_BatterieG,rms_BatterieD,region,beat,measure,x_Voc 1,y_Voc 1
116.0,23718707.724,363217284.627,247410602.462,145311988.399,161615652.769,295071104.275,295306040.544,Chorus,2,6,-2.542,0.375
116.1,18981434.518,317999507.206,209114408.527,122243834.748,150354175.874,251548421.6,257551286.722,Chorus,2,6,-1.841,0.45
116.2,15191543.273,282964552.495,178031830.218,107716037.568,157087168.645,249255119.02,297415131.209,Chorus,2,6,-0.33,0.763
116.3,27494662.792,335569712.506,226079891.872,130991414.862,161007533.599,261199106.004,326660898.417,Chorus,3,6,1.429,0.866
116.4,22002116.749,379840749.605,255677071.521,152283664.645,166244421.017,271297932.392,304092477.755,Chorus,3,6,2.219,0.521
116.5,17608334.099,408514702.217,273480463.266,169818865.135,170724432.938,271523389.929,267330698.187,Chorus,3,6,2.266,0.501
116.6,29428204.625,409080456.769,264769645.487,166621382.403,176884957.422,277528948.238,291567849.972,Chorus,4,6,2.258,0.503
116.7,23549216.123,373165687.341,234989671.508,148595321.408,174834311.889,265677266.697,292746555.891,Chorus,4,6,2.005,0.549
116.8,18846025.32,320244801.81,211013929.045,127229702.749,169549816.323,233056287.538,270278102.024,Chorus,4,6,1.132,0.834
116.9,15083270.502,347734759.376,246093163.05,145679411.922,174883166.954,246896389.1,322983107.511,Chorus,4,6,0.487,1.821
117.0,27408016.336,380163442.576,275812228.682,162075841.211,177859442.595,260389566.371,342131578.837,Chorus,1,7,0.334,2.476
117.1,21933003.716,390452090.322,293198917.983,167661771.474,183622344.027,274323947.297,309756268.726,Chorus,1,7,0.326,2.534
117.2,17552972.899,369919457.863,285449774.642,156932875.424,178599312.07,285912551.061,269815110.778,Chorus,1,7,0.327,2.529
117.3,25434146.662,327748672.003,261172932.106,137588867.998,175871495.682,290865962.192,323203923.74,Chorus,2,7,0.28,2.231
117.4,20353946.286,276009188.78,229928269.822,114905236.307,173767006.856,297327207.555,286207022.098,Chorus,2,7,-0.036,1.07
117.5,16289676.36,228918947.722,252043248.301,94089749.28,172597514.976,290686833.623,242945124.748,Chorus,2,7,-0.01,0.95
117.6,28373265.846,188720019.62,268978339.104,76352362.427,166413138.96,266273421.379,311555124.772,Chorus,3,7,-0.01,0.949
117.7,22705314.69,156056808.065,278878640.277,61624583.95,170207892.039,277814568.746,311925726.411,Chorus,3,7,-0.011,0.949
117.8,18170791.964,128789535.565,293577087.943,49549767.641,177548892.508,290945703.274,277457521.416,Chorus,3,7,-0.012,0.948
117.9,14543215.346,106402330.987,303412636.131,39777583.76,165108707.336,256788500.495,244165518.371,Chorus,3,7,-0.012,0.947
118.0,26976136.754,87838042.154,310211657.507,31889473.606,169550976.485,264821039.76,288553598.884,Chorus,4,7,-0.013,0.945
118.1,21587380.753,72652634.318,313204369.698,25550221.334,176030429.238,279420077.258,253688985.997,Chorus,4,7,-0.012,0.945
118.2,17276462.659,60467882.565,297546017.276,20469294.236,159568597.443,257542163.732,215230752.122,Chorus,4,7,-0.007,0.941
118.3,29162490.185,49509542.398,312132398.352,16400868.094,160640544.468,255459041.244,289921575.492,Chorus,1,8,0.003,0.946
118.4,23336454.461,39662681.894,313662085.86,13146854.227,161877053.893,276452627.734,279434189.118,Chorus,1,8,0.004,0.947
118.5,18675771.925,31787530.209,301854869.505,10543832.698,164882282.194,288798872.422,250026605.796,Chorus,1,8,0.004,0.947
118.6,26332532.04,25489208.493,306267322.98,8461675.653,166401603.317,265003374.925,289550073.26,Chorus,2,8,0.004,0.947
118.7,21072660.463,20450730.872,303489615.451,6796335.798,171826259.295,273667894.036,311144063.253,Chorus,2,8,0.004,0.947
118.8,16864686.427,16420181.936,307004225.516,5463727.029,180354046.546,284517986.609,289862561.332,Chorus,2,8,0.004,0.947
118.9,13498316.103,13198270.505,317646376.414,4399313.464,187660463.041,290781663.629,259901996.68,Chorus,2,8,0.004,0.947
